participant_id,trial_participant,difficulty,signal,stimulus_type,trial_in_condition,rt,choice,correct_choice,accuracy
1,1,easy,present,simple,1,0.661,1,1,1
1,2,easy,present,simple,2,0.605,1,1,1
1,3,easy,present,simple,3,0.726,1,1,1
1,4,easy,present,simple,4,0.612,1,1,1
1,5,easy,present,simple,5,1.070,1,1,1
1,6,easy,present,simple,6,0.590,1,1,1
1,7,easy,present,simple,7,0.869,1,1,1
1,8,easy,present,simple,8,0.652,1,1,1
1,9,easy,present,simple,9,0.676,1,1,1
1,10,easy,present,simple,10,1.221,1,1,1
1,11,easy,present,simple,11,0.461,1,1,1
1,12,easy,present,simple,12,0.473,1,1,1
1,13,easy,present,simple,13,0.436,1,1,1
1,14,easy,present,simple,14,0.932,1,1,1
1,15,easy,present,simple,15,0.853,1,1,1
1,16,easy,present,simple,16,1.014,1,1,1
1,17,easy,present,simple,17,0.877,1,1,1
1,18,easy,present,simple,18,0.623,1,1,1
1,19,easy,present,simple,19,0.854,1,1,1
1,20,easy,present,simple,20,0.482,1,1,1
1,21,easy,present,simple,21,0.725,1,1,1
1,22,easy,present,simple,22,0.491,1,1,1
1,23,easy,present,simple,23,1.385,1,1,1
1,24,easy,present,simple,24,0.652,1,1,1
1,25,easy,present,simple,25,0.596,1,1,1
1,26,easy,present,simple,26,0.539,1,1,1
1,27,easy,present,simple,27,0.846,1,1,1
1,28,easy,present,simple,28,0.617,1,1,1
1,29,easy,present,simple,29,0.679,1,1,1
1,30,easy,present,simple,30,0.434,1,1,1
1,31,easy,present,simple,31,0.708,1,1,1
1,32,easy,present,simple,32,0.704,1,1,1
1,33,easy,present,simple,33,0.707,1,1,1
1,34,easy,present,simple,34,1.375,1,1,1
1,35,easy,present,simple,35,0.755,1,1,1
1,36,easy,present,simple,36,0.578,1,1,1
1,37,easy,present,simple,37,0.605,1,1,1
1,38,easy,present,simple,38,0.765,1,1,1
1,39,easy,present,simple,39,0.460,1,1,1
1,40,easy,present,simple,40,0.744,1,1,1
1,41,easy,present,simple,41,0.746,1,1,1
1,42,easy,present,simple,42,0.515,1,1,1
1,43,easy,present,simple,43,0.490,1,1,1
1,44,easy,present,simple,44,0.556,1,1,1
1,45,easy,present,simple,45,0.576,1,1,1
1,46,easy,present,simple,46,0.678,1,1,1
1,47,easy,present,simple,47,0.611,1,1,1
1,48,easy,present,simple,48,0.480,1,1,1
1,49,easy,present,simple,49,0.518,1,1,1
1,50,easy,present,simple,50,0.503,1,1,1
1,51,easy,present,simple,51,0.732,1,1,1
1,52,easy,present,simple,52,0.539,1,1,1
1,53,easy,present,simple,53,0.621,1,1,1
1,54,easy,present,simple,54,0.535,1,1,1
1,55,easy,present,simple,55,0.504,1,1,1
1,56,easy,present,simple,56,0.483,1,1,1
1,57,easy,present,simple,57,0.735,1,1,1
1,58,easy,present,simple,58,0.494,1,1,1
1,59,easy,present,simple,59,0.515,1,1,1
1,60,easy,present,simple,60,0.583,1,1,1
1,61,easy,present,simple,61,0.912,1,1,1
1,62,easy,present,simple,62,0.476,1,1,1
1,63,easy,present,simple,63,0.944,1,1,1
1,64,easy,present,simple,64,0.479,1,1,1
1,65,easy,present,simple,65,0.624,1,1,1
1,66,easy,present,simple,66,0.700,1,1,1
1,67,easy,present,simple,67,0.808,1,1,1
1,68,easy,present,simple,68,0.448,1,1,1
1,69,easy,present,simple,69,0.546,1,1,1
1,70,easy,present,simple,70,0.490,1,1,1
1,71,easy,present,simple,71,0.551,1,1,1
1,72,easy,present,simple,72,0.489,1,1,1
1,73,easy,present,simple,73,0.565,1,1,1
1,74,easy,present,simple,74,0.599,1,1,1
1,75,easy,present,simple,75,0.463,1,1,1
1,76,easy,present,simple,76,0.760,1,1,1
1,77,easy,present,simple,77,0.677,1,1,1
1,78,easy,present,simple,78,0.542,1,1,1
1,79,easy,present,simple,79,0.651,1,1,1
1,80,easy,present,simple,80,0.472,1,1,1
1,81,easy,present,simple,81,0.682,1,1,1
1,82,easy,present,simple,82,1.241,1,1,1
1,83,easy,present,simple,83,0.562,1,1,1
1,84,easy,present,simple,84,0.741,1,1,1
1,85,easy,present,simple,85,0.493,1,1,1
1,86,easy,present,simple,86,0.785,1,1,1
1,87,easy,present,simple,87,0.550,1,1,1
1,88,easy,present,simple,88,0.509,1,1,1
1,89,easy,present,simple,89,0.688,1,1,1
1,90,easy,present,simple,90,0.439,1,1,1
1,91,easy,present,simple,91,0.930,1,1,1
1,92,easy,present,simple,92,0.416,1,1,1
1,93,easy,present,simple,93,0.753,1,1,1
